geno	condition	lab	"total number
of leaves"
cry1cry2	NCM	cry1cry2_NCM	13
cry1cry2	NCM	cry1cry2_NCM	12
cry1cry2	NCM	cry1cry2_NCM	12
cry1cry2	NCM	cry1cry2_NCM	11
cry1cry2	NCM	cry1cry2_NCM	11
cry1cry2	NCM	cry1cry2_NCM	9
cry1cry2	NCM	cry1cry2_NCM	11
cry1cry2	NCM	cry1cry2_NCM	12
cry1cry2	NCM	cry1cry2_NCM	12
cry1cry2	NCM	cry1cry2_NCM	13
cry1cry2	NCM	cry1cry2_NCM	11
cry1cry2	NCM	cry1cry2_NCM	11
cry1cry2	NCM	cry1cry2_NCM	13
cry1cry2	NCM	cry1cry2_NCM	12
cry1cry2	NCM	cry1cry2_NCM	12
cry1cry2	NCM	cry1cry2_NCM	11
cry1cry2	NCM	cry1cry2_NCM	11
cry1cry2	NCM	cry1cry2_NCM	13
cry1cry2	NCM	cry1cry2_NCM	9
cry1cry2	NCM	cry1cry2_NCM	12
cry1cry2	NCM	cry1cry2_NCM	9
cry1cry2	NCM	cry1cry2_NCM	11
cry1cry2	NC	cry1cry2_NC	16
cry1cry2	NC	cry1cry2_NC	14
cry1cry2	NC	cry1cry2_NC	16
cry1cry2	NC	cry1cry2_NC	15
cry1cry2	NC	cry1cry2_NC	13
cry1cry2	NC	cry1cry2_NC	15
cry1cry2	NC	cry1cry2_NC	14
cry1cry2	NC	cry1cry2_NC	14
cry1cry2	NC	cry1cry2_NC	14
cry1cry2	NC	cry1cry2_NC	13
cry1cry2	NC	cry1cry2_NC	12
cry1cry2	NC	cry1cry2_NC	11
cry1cry2	NC	cry1cry2_NC	12
cry1cry2	NC	cry1cry2_NC	12
cry1cry2	NC	cry1cry2_NC	10
cry1cry2	NC	cry1cry2_NC	13
cry1cry2	NC	cry1cry2_NC	13
cry1cry2	NC	cry1cry2_NC	13
cry1cry2	NC	cry1cry2_NC	13
cry1cry2	NC	cry1cry2_NC	9
cry1cry2	NC	cry1cry2_NC	11
cry1cry2	NC	cry1cry2_NC	12
cry1cry2	NC	cry1cry2_NC	10
cry1cry2	NC	cry1cry2_NC	10
cry1cry2	LPM	cry1cry2_LPM	8
cry1cry2	LPM	cry1cry2_LPM	8
cry1cry2	LPM	cry1cry2_LPM	9
cry1cry2	LPM	cry1cry2_LPM	8
cry1cry2	LPM	cry1cry2_LPM	8
cry1cry2	LPM	cry1cry2_LPM	9
