lab	shootfreshweight	condition	rep	geno	lab1
SC	0.0066	C	VI	cry1cry2	cry1cry2_SC
SC	0.006	C	VI	cry1cry2	cry1cry2_SC
SC	0.0043	C	VI	cry1cry2	cry1cry2_SC
NC	0.0784	A	VI	sav	sav_NC
NC	0.0653	A	VI	sav	sav_NC
NC	0.0711	A	VI	sav	sav_NC
NC	0.0566	A	VI	sav	sav_NC
NC	0.0576	A	VI	sav	sav_NC
NC	0.0599	A	VI	sav	sav_NC
NC	0.0645	A	VI	sav	sav_NC
NC	0.074	A	VI	sav	sav_NC
NC	0.0724	A	VI	sav	sav_NC
SC	0.0487	C	VI	sav	sav_SC
SC	0.0446	C	VI	sav	sav_SC
SC	0.0304	C	VI	sav	sav_SC
SC	0.0413	C	VI	sav	sav_SC
SC	0.0456	C	VI	sav	sav_SC
SC	0.0458	C	VI	sav	sav_SC
SC	0.0409	C	VI	sav	sav_SC
SC	0.0361	C	VI	sav	sav_SC
SC	0.0198	C	VI	sav	sav_SC
NC_M	0.0705	B	VI	myc2	myc2_NC_M
NC_M	0.0574	B	VI	myc2	myc2_NC_M
NC_M	0.0758	B	VI	myc2	myc2_NC_M
NC_M	0.0984	B	VI	myc2	myc2_NC_M
NC_M	0.0695	B	VI	myc2	myc2_NC_M
NC_M	0.0583	B	VI	myc2	myc2_NC_M
NC_M	0.0996	B	VI	myc2	myc2_NC_M
NC_M	0.0512	B	VI	myc2	myc2_NC_M
NC_M	0.0527	B	VI	myc2	myc2_NC_M
SC_M	0.0382	D	VI	myc2	myc2_SC_M
SC_M	0.0184	D	VI	myc2	myc2_SC_M
SC_M	0.0119	D	VI	myc2	myc2_SC_M
SC_M	0.018	D	VI	myc2	myc2_SC_M
SC_M	0.0175	D	VI	myc2	myc2_SC_M
SC_M	0.0222	D	VI	myc2	myc2_SC_M
SC_M	0.0207	D	VI	myc2	myc2_SC_M
SC_M	0.0095	D	VI	myc2	myc2_SC_M
SC_M	0.0091	D	VI	myc2	myc2_SC_M
NC_M	0.0338	B	VI	jazq	jazq_NC_M
NC_M	0.0313	B	VI	jazq	jazq_NC_M
NC_M	0.0247	B	VI	jazq	jazq_NC_M
NC_M	0.0181	B	VI	jazq	jazq_NC_M
NC_M	0.0181	B	VI	jazq	jazq_NC_M
NC_M	0.0281	B	VI	jazq	jazq_NC_M
NC_M	0.0504	B	VI	jazq	jazq_NC_M
NC_M	0.035	B	VI	jazq	jazq_NC_M
NC_M	0.0184	B	VI	jazq	jazq_NC_M
SC_M	0.0194	D	VI	jazq	jazq_SC_M
SC_M	0.0219	D	VI	jazq	jazq_SC_M
SC_M	0.0209	D	VI	jazq	jazq_SC_M
SC_M	0.0217	D	VI	jazq	jazq_SC_M
SC_M	0.0164	D	VI	jazq	jazq_SC_M
SC_M	0.0154	D	VI	jazq	jazq_SC_M
SC_M	0.0221	D	VI	jazq	jazq_SC_M
SC_M	0.0204	D	VI	jazq	jazq_SC_M
SC_M	0.0199	D	VI	jazq	jazq_SC_M
NC_M	0.0693	B	VI	della	della_NC_M
NC_M	0.037	B	VI	della	della_NC_M
NC_M	0.0499	B	VI	della	della_NC_M
NC_M	0.0363	B	VI	della	della_NC_M
NC_M	0.0452	B	VI	della	della_NC_M
NC_M	0.0279	B	VI	della	della_NC_M
NC_M	0.0968	B	VI	della	della_NC_M
NC_M	0.0301	B	VI	della	della_NC_M
NC_M	0.0298	B	VI	della	della_NC_M
SC_M	0.0547	D	VI	della	della_SC_M
SC_M	0.0346	D	VI	della	della_SC_M
SC_M	0.0402	D	VI	della	della_SC_M
SC_M	0.0511	D	VI	della	della_SC_M
SC_M	0.0346	D	VI	della	della_SC_M
SC_M	0.0376	D	VI	della	della_SC_M
SC_M	0.0266	D	VI	della	della_SC_M
SC_M	0.0234	D	VI	della	della_SC_M
SC_M	0.0218	D	VI	della	della_SC_M
NC_M	0.0911	B	VI	cry1cry2	cry1cry2_NC_M
NC_M	0.0918	B	VI	cry1cry2	cry1cry2_NC_M
NC_M	0.0365	B	VI	cry1cry2	cry1cry2_NC_M
NC_M	0.0583	B	VI	cry1cry2	cry1cry2_NC_M
NC_M	0.0608	B	VI	cry1cry2	cry1cry2_NC_M
NC_M	0.0379	B	VI	cry1cry2	cry1cry2_NC_M
NC_M	0.0385	B	VI	cry1cry2	cry1cry2_NC_M
NC_M	0.0847	B	VI	cry1cry2	cry1cry2_NC_M
NC_M	0.0616	B	VI	cry1cry2	cry1cry2_NC_M
SC_M	0.0201	D	VI	cry1cry2	cry1cry2_SC_M
SC_M	0.006	D	VI	cry1cry2	cry1cry2_SC_M
SC_M	0.0263	D	VI	cry1cry2	cry1cry2_SC_M
SC_M	0.0189	D	VI	cry1cry2	cry1cry2_SC_M
SC_M	0.0219	D	VI	cry1cry2	cry1cry2_SC_M
SC_M	0.0369	D	VI	cry1cry2	cry1cry2_SC_M
SC_M	0.0178	D	VI	cry1cry2	cry1cry2_SC_M
SC_M	0.0206	D	VI	cry1cry2	cry1cry2_SC_M
SC_M	0.016	D	VI	cry1cry2	cry1cry2_SC_M
NC_M	0.071	B	VI	sav	sav_NC_M
NC_M	0.0713	B	VI	sav	sav_NC_M
NC_M	0.0442	B	VI	sav	sav_NC_M
NC_M	0.0607	B	VI	sav	sav_NC_M
NC_M	0.0594	B	VI	sav	sav_NC_M
NC_M	0.0613	B	VI	sav	sav_NC_M
NC_M	0.0702	B	VI	sav	sav_NC_M
NC_M	0.0498	B	VI	sav	sav_NC_M
NC_M	0.0513	B	VI	sav	sav_NC_M
SC_M	0.0206	D	VI	sav	sav_SC_M
SC_M	0.0297	D	VI	sav	sav_SC_M
SC_M	0.0476	D	VI	sav	sav_SC_M
SC_M	0.0441	D	VI	sav	sav_SC_M
SC_M	0.043	D	VI	sav	sav_SC_M
SC_M	0.0217	D	VI	sav	sav_SC_M
SC_M	0.0312	D	VI	sav	sav_SC_M
SC_M	0.0287	D	VI	sav	sav_SC_M
SC_M	0.0339	D	VI	sav	sav_SC_M
NC	0.0339	A	VI	col0	col0_NC
NC	0.0369	A	VI	col0	col0_NC
NC	0.0222	A	VI	col0	col0_NC
NC	0.0378	A	VI	col0	col0_NC
NC	0.0219	A	VI	col0	col0_NC
NC	0.0231	A	VI	col0	col0_NC
NC	0.0382	A	VI	col0	col0_NC
NC	0.0337	A	VI	col0	col0_NC
NC	0.0373	A	VI	col0	col0_NC
NC_M	0.0576	B	VI	col0	col0_NC_M
NC_M	0.043	B	VI	col0	col0_NC_M
NC_M	0.0412	B	VI	col0	col0_NC_M
NC_M	0.0427	B	VI	col0	col0_NC_M
NC_M	0.0319	B	VI	col0	col0_NC_M
NC_M	0.0327	B	VI	col0	col0_NC_M
NC_M	0.0493	B	VI	col0	col0_NC_M
NC_M	0.0428	B	VI	col0	col0_NC_M
NC_M	0.0401	B	VI	col0	col0_NC_M
SC	0.0231	C	VI	col0	col0_SC
SC	0.0193	C	VI	col0	col0_SC
SC	0.0101	C	VI	col0	col0_SC
SC	0.0106	C	VI	col0	col0_SC
SC	0.0207	C	VI	col0	col0_SC
SC	0.0113	C	VI	col0	col0_SC
SC	0.0119	C	VI	col0	col0_SC
SC	0.0187	C	VI	col0	col0_SC
SC	0.0121	C	VI	col0	col0_SC
SC_M	0.0246	D	VI	col0	col0_SC_M
SC_M	0.0312	D	VI	col0	col0_SC_M
SC_M	0.0367	D	VI	col0	col0_SC_M
