NC_N_Root_1	NC_N_Root_2	NC_N_Root_3	NC_N_Shoot_1	NC_N_Shoot_2	NC_N_Shoot_3	SC_N_Root_1	SC_N_Root_2	SC_N_Root_3	SC_N_Shoot_1	SC_N_Shoot_2	SC_N_Shoot_3	NC_Y_Root_1	NC_Y_Root_2	NC_Y_Root_3	NC_Y_Shoot_1	NC_Y_Shoot_2	NC_Y_Shoot_3	SC_Y_Root_1	SC_Y_Root_2	SC_Y_Root_3	SC_Y_Shoot_1	SC_Y_Shoot_2	SC_Y_Shoot_3
AT1G01780	5.1335	5.2798	4.9086	3.844	3.9901	3.9173	4.6328	4.5321	4.8067	3.3269	3.3688	3.683	5.0976	5.1475	4.9814	3.8722	3.5183	3.592	5.3334	4.9953	5.2435	3.4216	3.6575	3.1114
AT1G01790	4.5759	4.6294	4.4546	8.2557	8.3609	8.3748	4.7903	4.6734	4.6845	8.3918	8.3124	8.3852	4.8152	4.7944	4.8382	8.1568	8.2851	8.1408	4.9067	5.0678	4.9922	8.3621	8.4001	8.3664
AT1G01800	5.8493	5.7239	5.8707	6.1511	6.056	6.1648	6.0994	6.1576	6.2741	6.0299	5.9095	5.9289	5.754	5.5522	5.5606	6.1325	6.0186	6.0193	5.5592	5.5266	5.5459	5.7167	5.875	5.793
AT1G01810	-0.8584	-1.3479	-1.2507	0.0088	-0.5916	-1.6595	-1.045	-1.5441	-0.2948	-1.0274	-1.35	-1.5351	-1.3177	-1.2919	-1.6638	-0.4532	-0.6706	-0.2493	-0.8022	-1.3904	-1.5271	-1.3093	-1.8344	-3.0784
AT1G01820	5.6482	5.7377	5.574	5.5446	5.5898	5.5824	5.276	5.3607	5.3516	5.6437	5.7029	5.6689	5.9529	5.9272	5.7525	5.801	5.7755	5.8351	5.5819	5.5394	5.5381	5.5962	5.8511	5.7889
AT1G01830	4.0427	4.0902	4.226	5.9777	5.765	5.5366	4.2786	4.395	4.2096	4.8947	5.1003	4.8476	3.9978	4.0319	3.7378	6.0132	5.6419	6.0527	4.0601	4.2015	4.2966	4.9449	4.8198	4.5338
AT1G01840	-0.8584	-0.2259	-0.9458	0.0937	-0.0847	-0.871	-0.5794	-0.5872	-0.385	-0.2389	-0.1276	0.0498	-0.1957	-0.896	0.1622	-0.2017	-0.419	-0.7347	-0.6819	0.1186	0.1428	0.2756	-0.3938	-0.4155
AT1G01860	2.3986	2.4289	2.2543	4.2382	4.213	4.0232	1.6816	1.8196	1.5796	4.4231	4.2778	4.4165	2.5548	2.1813	2.439	4.1403	4.043	4.207	1.6855	2.1665	2.1934	4.2384	4.459	4.7524
AT1G01880	0.2791	0.346	0.4947	1.1542	1.5355	1.5676	0.7915	0.8442	0.7693	1.2411	1.5025	0.7212	0.7846	0.8352	1.3197	1.3443	0.77	0.1133	0.6966	0.3354	0.5681	1.1932	1.289	0.8285
AT1G01900	2.4226	3.0444	2.7963	3.844	3.764	3.5068	2.7376	2.4506	2.5856	3.8306	3.9436	3.8986	2.7189	2.6647	3.1668	3.6741	3.6684	3.7203	3.2779	2.8807	2.9023	3.9428	3.419	2.7375
AT1G01910	5.4159	5.392	5.5237	5.9323	5.9128	5.7584	5.7419	5.7408	5.6629	5.8784	5.9426	5.9541	5.5307	5.5496	5.4905	5.953	5.9476	6.0031	5.5998	5.4685	5.6401	6.0859	6.1173	6.0654
AT1G01920	4.6888	4.5856	4.49	4.4702	4.5846	4.6804	4.3652	4.4835	4.4889	4.2445	4.5327	4.578	4.482	4.3864	4.526	4.3712	4.31	4.4055	4.3378	4.4733	4.3733	4.5895	4.3945	4.5726
AT1G01930	3.9674	3.9112	3.9588	4.2335	4.0643	4.1872	3.8129	3.7369	4.0073	4.0944	4.3719	4.1745	4.0273	4.1932	3.9774	4.0763	4.0894	4.2862	3.7322	3.6405	3.8746	4.0944	4.2742	4.432
AT1G01940	3.1596	3.2477	3.2126	3.7025	3.3051	3.2254	3.1363	3.4532	3.4905	3.3897	3.665	3.255	3.3663	3.0859	3.2121	3.3785	2.9539	3.1463	3.3	3.5709	3.5796	3.5487	3.4616	3.5215
AT1G01950	4.95	4.8719	4.843	5.2182	5.119	5.0498	4.7684	4.7511	4.7389	4.7587	4.6822	4.8476	4.7859	4.8011	4.7791	5.2326	5.1007	5.0004	4.9562	4.8936	5.0008	4.8849	4.9186	4.8385
AT1G01960	7.4361	7.3364	7.6119	7.0959	7.1804	7.2129	7.5733	7.5719	7.3846	7.1852	7.2362	7.3211	7.4553	7.6104	7.5494	7.2489	7.1572	7.1278	7.546	7.5496	7.5126	7.403	7.3516	7.1532
AT1G01970	2.4344	2.2582	2.41	5.347	5.4516	5.4386	2.3764	2.3051	2.6438	5.8204	5.7125	5.8601	2.6116	2.7776	2.6647	5.3055	5.4946	5.4966	2.5135	2.4405	2.4811	5.6253	5.8126	5.8845
AT1G01990	3.8309	4.1019	4.2068	5.1702	4.9336	4.9831	4.2155	4.2587	4.3629	4.6295	4.7161	4.5262	4.6595	4.7211	4.6266	4.9858	4.7747	4.7225	4.4106	4.2061	4.5429	4.8717	4.7613	4.9532
AT1G02000	4.1143	4.2459	4.1756	4.3153	4.0277	4.1027	4.123	3.9288	4.1385	3.5188	3.6944	3.7337	4.4881	4.6313	4.5961	4.1796	4.1195	3.9841	4.5056	4.2645	4.6041	3.9595	3.8621	4.0543
AT1G02010	3.0714	2.9867	2.6898	4.9142	4.9336	4.8655	2.6448	2.4926	2.8555	4.5103	4.1771	4.4217	3.2205	3.3088	3.2387	4.7893	4.8811	4.7656	2.7022	3.0019	3.3127	4.0404	4.4484	4.4161
AT1G02020	3.2824	3.5448	3.4399	5.0794	4.7092	4.7653	3.3603	3.1982	3.419	4.3928	4.6273	4.5965	4.0522	4.0619	3.9074	4.9667	4.6078	4.8158	3.7484	3.7133	3.6392	4.6475	4.93	4.7524
AT1G02030	0.3307	0.0565	0.0194	-1.1287	-2.5176	-3.5339	-0.2279	-0.6774	0.2755	-4.4868	-2.9349	-4.705	-0.1957	0.7269	0.1622	-4.8455	-1.156	-1.8343	0.5071	0.6905	0.4398	-2.8943	-2.3198	-4.6634
AT1G02050	3.4836	3.1904	3.6703	3.6957	3.0733	3.056	3.3341	3.3486	3.4256	2.931	3.0726	3.0959	3.5806	3.8067	3.2561	2.9554	2.85	2.7247	3.225	3.62	3.3309	2.9554	2.874	3.2495
AT1G02060	3.7809	3.5787	3.8442	3.3948	3.2426	3.3689	3.4175	3.6515	3.7349	3.1352	3.4857	3.0023	3.7267	4.0877	3.9074	3.1601	2.9539	2.7421	3.5961	3.8663	3.7448	3.1574	3.1331	3.1884
AT1G02065	-5.5022	-5.4353	-5.3382	0.0088	0.2897	0.5535	-5.4374	-5.6316	-5.3392	-0.2389	0.4343	1.0763	-5.4052	-5.5398	-5.1232	-0.4532	0.2225	-0.7347	-5.3258	-5.0909	-4.9865	-0.0869	0.4876	0.8285
